id,name,url,activity_id
1,Clean up Australia,https://www.cleanup.org.au/,1
2,Ed connect Australia,https://www.edconnectaustralia.org.au/volunteer/,2
3,Only Melbourne Fundraiser,https://www.onlymelbourne.com.au/c-6151/fundraiser,3
4,The Sea Shepherd,https://www.seashepherd.org.au/,4
5,Volunteer.vic,https://www.volunteer.vic.gov.au/become-emergency-services-volunteer,5
6,St Vincent's Care Services,https://www.svcs.org.au/locations/victoria,6
7,St Mart's House of Welcome,https://www.smhow.org.au/volunteer,7
8,Ceres,ceres.org.au,8
9,Scope,https://www.scopeaust.org.au/support-us/become-volunteer/,9
10,Australian Red Cross Lifeblood,https://www.lifeblood.com.au/,10
11,Human Rights Careers,https://www.humanrightscareers.com/magazine/how-to-become-a-human-rights-activist/,11
12,Pro Bono Australia,https://probonoaustralia.com.au/volunteer/,12
13,Arts Project Australia,https://artsproject.org.au/the-studio/volunteer-in-the-studio/,13
14,Youth Central,https://www.youthcentral.vic.gov.au/jobs-and-careers/volunteering-and-work-experience/volunteering/organisations-that-accept-volunteers,14
15,Translators without borders,https://translatorswithoutborders.org/volunteer/,15
16,Australian Red Cross,https://www.redcross.org.au/act/action-catalogue/volunteer/be-a-transport-driver-in-your-local-region/,16
17,Habitat for Humanity,https://www.habitatvic.org.au/volunteer,17
18,Foodbank Australia ,https://www.foodbank.org.au/?state=vic,18
19,Friends of Refugees,https://friendsofrefugees.org.au/volunteer-with-us/,19
20,UnitingCare,https://www.unitingcareqld.com.au/get-involved/join-us/volunteer/social-support,20
21,Vinnies Soup Vans,https://www.vinnies.org.au/findhelp/view/90,21
22,Conservation Volunteers Australia ,https://volunteerportal.conservationvolunteers.com.au/s/make-booking,22
23,Life Savign Victoria ,https://lsv.com.au/life-saving-services/volunteer-lifesavers/,23
24,The Royal Melbourne Hospital,https://www.thermh.org.au/volunteer,24
25,City of Melbourne,https://app.betterimpact.com/PublicEnterprise/a9eb2288-7b76-4a3a-a590-22fd12a5e5c6,25
26,St.Merkorious Charity ,https://stmerkorious.org.au/administration-support-volunteer/,26
27,Powerchair Sports Victoria,https://psv.org.au/volunteering/,27
28,WhiteLion Youth,https://careers.whitelion.asn.au/jobs/1689292-break-through-employment-mentor-campbelltown,28
29,DonateLife,https://www.donatelife.gov.au/,29
30,Volunteering Australia,https://www.volunteeringaustralia.org/research/,30
31,EarthDay ,https://www.earthday.org/actions/green-up-with-a-cleanup-volunteer-for-a-cleanup-in-your-community/,1
32,Embrace Education ,https://www.embrace-education.org/volunteer,2
33,Sacred Heart Mission,https://www.sacredheartmission.org/get-involved/fundraise-for-us/run-for-a-cause/,3
34,Second Chance Animal Rescue ,https://secondchanceanimalrescue.com.au/how-you-can-help/volunteer/,4
35,Victoria State Emergency Service,https://www.ses.vic.gov.au/join-us/volunteer,5
36,Melbounre City Mission,https://www.mcm.org.au/get-involved/volunteer/community-visitors-scheme,6
37,Launch HOUSING,https://www.launchhousing.org.au/take-action/volunteering,7
38,Royal Botanic Gardens Victoria ,https://www.rbg.vic.gov.au/support-us/volunteering/,8
39,Tooralla,https://www.yooralla.com.au/get-involved/Volunteering,9
40,WEHI brighter together ,https://www.wehi.edu.au/donate/ways-support/volunteer-blood-donor-registry,10
41,AMESTY international ,https://www.amnesty.org.au/work-with-us/volunteer/,11
42,Code Club,https://www.codeclubau.org/volunteer/,12
43,Mundaring Arts Centre,https://mundaringartscentre.com.au/volunteer,13
44,YMCA,https://victoria.ymca.org.au/staff-and-volunteers/volunteering,14
45,Lost in Books,https://www.lostinbooks.com.au/volunteer,15
46,VicRoads,https://www.vicroads.vic.gov.au/licences/your-ps/get-your-ps/preparing-for-your-licence-test/l2p-learner-driver-mentor-program/volunteer-opportunities,16
47,Icys,https://www.icys.org.au/volunteer-maintenance-worker/,17
48,OzHarvest,https://www.ozharvest.org/your-local-ozharvest/melbourne/,18
49,Australian Red Cross,https://www.redcross.org.au/act/help-refugees/volunteer-to-help-refugees/,19
50,Lifeline,https://www.lifeline.org.au/get-involved/community-volunteering/,20
51,FRIDAY KITCHEN,https://manyrooms.org.au/volunteer/,21
52,GoEco,https://www.goeco.org/area/volunteer-in-australasia/australia/,22
53,Bulli Surf Life Saving Club,https://www.bullisurfclub.com.au/volunteer,23
54,Eastern Health,https://www.easternhealth.org.au/site/item/22-volunteer-with-eastern-health,24
55,Midsumma festival,https://www.midsumma.org.au/support/work-with-us/,25
56,Holland Foundation ,https://hf.org.au/get-involved/,26
57,South Melbourne District Sports Club,https://www.smdsc.com.au/volunteering,27
58,AMES Australia ,https://www.ames.net.au/volunteering/volunteer-mentors,28
59,Transplant Australia,https://transplant.org.au/become-a-volunteer/,29
60,Social research centre,https://www.srcentre.com.au/,30
