id,name,image
1,Solo,https://cdn-icons-png.flaticon.com/512/1077/1077114.png
2,Social,https://cdn-icons-png.flaticon.com/512/681/681494.png
3,Creative,https://cdn-icons-png.flaticon.com/512/4214/4214047.png
4,Donation,https://cdn-icons-png.flaticon.com/512/2823/2823847.png
5,Skilled-based ,https://cdn-icons-png.flaticon.com/512/3079/3079079.png
6,Emergency service,https://cdn-icons-png.flaticon.com/512/811/811962.png
7,Food support,https://cdn-icons-png.flaticon.com/512/272/272186.png
8,Outdoor,https://cdn-icons-png.flaticon.com/512/2733/2733384.png
9,Underprivileged community support ,https://cdn-icons-png.flaticon.com/512/2514/2514943.png
10,Children or youth support,https://cdn-icons-png.flaticon.com/512/4282/4282356.png
11,Short-term commitment,https://cdn-icons-png.flaticon.com/512/1789/1789066.png
12,Long-term commitment,https://cdn-icons-png.flaticon.com/512/1743/1743298.png
